sfm_send_frame,TcpDriver,1699548525.801476,8.545798482373357e-05
sent_msg_sizes@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,req:server_parent_listener:get_clients,1699548525.801501,9.5367431640625e-06
msg_travel@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,server#reply:server_parent_listener:get_clients,1699548525.802034,0.00019311904907226562
received_msg_sizes@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,reply:server_parent_listener:get_clients,1699548525.802062,0.0004062652587890625
request_response@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,reply:server_parent_listener:get_clients,1699548525.8021162,0.0022971630096435547
sfm_send_frame,TcpDriver,1699548526.314066,0.00017441701493225992
sent_msg_sizes@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,req:sm__STREAM:sm__DATA,1699548526.314114,0.0003070831298828125
msg_travel@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,server.da1c729a-6d30-4772-adb2-5ccec75fe270#req:sm__STREAM:sm__DATA,1699548526.31883,0.0007307529449462891
received_msg_sizes@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,req:sm__STREAM:sm__DATA,1699548526.318911,0.0002727508544921875
request_processing@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,req:sm__STREAM:sm__DATA,1699548526.319105,9.583300561644137e-05
sfm_send_frame,TcpDriver,1699548526.326231,0.000592165975831449
sent_msg_sizes@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,req:sm__STREAM:sm__DATA,1699548526.326256,0.000308990478515625
sfm_send_frame,TcpDriver,1699548526.326453,4.449998959898949e-05
sent_msg_sizes@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,req:sm__STREAM:sm__DATA,1699548526.326466,0.00040435791015625
msg_travel@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,server.da1c729a-6d30-4772-adb2-5ccec75fe270#req:sm__STREAM:sm__DATA,1699548526.333438,0.0005140304565429688
received_msg_sizes@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,req:sm__STREAM:sm__DATA,1699548526.333493,0.0008907318115234375
request_processing@a1.da1c729a-6d30-4772-adb2-5ccec75fe270,req:sm__STREAM:sm__DATA,1699548526.33359,5.804098327644169e-05
